Particulars,Premium_Current_Month,Premium_Current_YTD,Premium_Previous_Month,Premium_Previous_YTD,Premium_YTD_Variation_Percent,Policies_Current_Month,Policies_Current_YTD,Policies_Previous_Month,Policies_Previous_YTD,Policies_YTD_Variation_Percent,Source_File,Date,Company,Company_Type,Premium_Variation_Zero_Base,Policy_Variation_Zero_Base
Individual Single Premium,1580.43,14708.89,1435.62,11593.61,26.87,30458,245388,21666,176194,39.27,DetailedReportofNB (1).xls,2022-02-01,PRIVATE,Private,0,0
Individual Non Single Premium,4593.86,44705.24,4437.01,36097.47,23.85,631825,6015665,643431,5883958,2.24,DetailedReportofNB (1).xls,2022-02-01,PRIVATE,Private,0,0
Group Single Premium,3093.21,32529.34,2896.11,25858.53,25.8,101,942,89,904,4.2,DetailedReportofNB (1).xls,2022-02-01,PRIVATE,Private,0,0
Group Non Single Premium,66.49,356.43,18.79,255.1,39.72,16,181,22,276,-34.42,DetailedReportofNB (1).xls,2022-02-01,PRIVATE,Private,0,0
Group Yearly Renewable Premium,641.44,5913.04,717.11,4987.95,18.55,177,2713,462,5388,-49.65,DetailedReportofNB (1).xls,2022-02-01,PRIVATE,Private,0,0
PRIVATE TOTAL,9975.42,98212.96,9504.64,78792.65,24.65,662577,6264889,665670,6066720,3.27,DetailedReportofNB (1).xls,2022-02-01,PRIVATE,Private,0,0
Individual Single Premium,2189.29,20787.2,1563.58,26326.66,-21.04,83160,812797,74805,838262,-3.04,DetailedReportofNB (1).xls,2022-02-01,LIFE INSURANCE CORPORATION OF INDIA,Public,0,0
Individual Non Single Premium,2527.31,24514.62,2387.23,22537.86,8.77,1950815,16009879,2164872,15469225,3.5,DetailedReportofNB (1).xls,2022-02-01,LIFE INSURANCE CORPORATION OF INDIA,Public,0,0
Group Single Premium,12062.15,107297.5,8597.97,101275.43,5.95,32,513,76,384,33.59,DetailedReportofNB (1).xls,2022-02-01,LIFE INSURANCE CORPORATION OF INDIA,Public,0,0
Group Non Single Premium,556.45,2672.14,227.16,5299.21,-49.57,518,6124,653,6131,-0.11,DetailedReportofNB (1).xls,2022-02-01,LIFE INSURANCE CORPORATION OF INDIA,Public,0,0
Group Yearly Renewable Premium,154.13,1169.17,144.63,629.47,85.74,2117,24991,2189,20408,22.46,DetailedReportofNB (1).xls,2022-02-01,LIFE INSURANCE CORPORATION OF INDIA,Public,0,0
Total,17489.34,156440.63,12920.57,156068.64,0.24,2036642,16854304,2242595,16334410,3.18,DetailedReportofNB (1).xls,2022-02-01,LIFE INSURANCE CORPORATION OF INDIA,Public,0,0
GRAND TOTAL,27464.76,254653.59,22425.21,234861.3,8.43,2699219,23119193,2908265,22401130,3.21,DetailedReportofNB (1).xls,2022-02-01,LIFE INSURANCE CORPORATION OF INDIA,Public,0,0
Individual Single Premium,40.95,256.05,31.33,153.07,67.28,481,2806,357,2127,31.92,DetailedReportofNB (21).xls,2022-03-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,394.0,2186.05,339.8,1923.49,13.65,35396,222692,36328,255429,-12.82,DetailedReportofNB (21).xls,2022-03-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,545.82,3015.94,336.3,2355.84,28.02,24,95,25,80,18.75,DetailedReportofNB (21).xls,2022-03-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,1.14,23.97,1.99,60.53,-60.39,0,4,0,1,300.0,DetailedReportofNB (21).xls,2022-03-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,28.19,183.31,3.66,71.33,157.0,18,191,13,432,-55.79,DetailedReportofNB (21).xls,2022-03-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,1010.11,5665.33,713.09,4564.26,24.12,35919,225788,36723,258069,-12.51,DetailedReportofNB (21).xls,2022-03-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,30.24,271.79,26.28,237.45,14.46,587,5081,691,6199,-18.04,DetailedReportofNB (21).xls,2022-03-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,64.48,367.44,51.37,266.97,37.63,6480,39269,5795,35671,10.09,DetailedReportofNB (21).xls,2022-03-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,39.34,177.17,23.23,127.27,39.21,0,1,0,0,0.0,DetailedReportofNB (21).xls,2022-03-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,1
Group Non Single Premium,0.0,0.03,0.0,0.05,-36.19,0,2,0,5,-60.0,DetailedReportofNB (21).xls,2022-03-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (21).xls,2022-03-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,134.06,816.43,100.88,631.74,29.24,7067,44353,6486,41875,5.92,DetailedReportofNB (21).xls,2022-03-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,2.06,14.76,0.77,11.71,25.98,799,910,764,1218,-25.29,DetailedReportofNB (21).xls,2022-03-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,48.57,191.39,34.3,149.3,28.19,6642,23895,3614,20683,15.53,DetailedReportofNB (21).xls,2022-03-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,0.35,4.96,0.15,2.36,109.83,0,1,1,1,0.0,DetailedReportofNB (21).xls,2022-03-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.16,1.29,0.27,1.61,-19.74,0,0,0,0,0.0,DetailedReportofNB (21).xls,2022-03-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,15.61,83.81,5.98,55.21,51.81,2,75,15,137,-45.26,DetailedReportofNB (21).xls,2022-03-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,66.75,296.2,41.47,220.2,34.52,7443,24881,4394,22039,12.9,DetailedReportofNB (21).xls,2022-03-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,354.75,1840.6,233.31,1508.97,21.98,1353,7352,819,5628,30.63,DetailedReportofNB (21).xls,2022-03-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Individual Non Single Premium,924.97,5257.34,837.51,4719.33,11.4,97621,606647,97185,638999,-5.06,DetailedReportofNB (21).xls,2022-03-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Group Single Premium,101.02,746.83,101.62,483.88,54.34,1,39,0,17,129.41,DetailedReportofNB (21).xls,2022-03-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (21).xls,2022-03-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Group Yearly Renewable Premium,12.86,59.58,40.76,114.7,-48.06,10,43,1,392,-89.03,DetailedReportofNB (21).xls,2022-03-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Total,1393.6,7904.35,1213.19,6826.88,15.78,98985,614081,98005,645036,-4.8,DetailedReportofNB (21).xls,2022-03-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Individual Single Premium,63.95,305.81,24.97,70.03,336.66,720,4187,344,1213,245.18,DetailedReportofNB (21).xls,2022-03-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Individual Non Single Premium,661.7,3654.92,476.96,2460.29,48.56,75004,470787,61352,425790,10.57,DetailedReportofNB (21).xls,2022-03-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Group Single Premium,933.94,4739.04,766.38,3591.74,31.94,24,96,9,64,50.0,DetailedReportofNB (21).xls,2022-03-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0.0,DetailedReportofNB (21).xls,2022-03-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Group Yearly Renewable Premium,12.59,436.04,23.37,190.88,128.44,24,139,44,174,-20.11,DetailedReportofNB (21).xls,2022-03-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Total,1672.18,9135.82,1291.68,6312.94,44.72,75772,475209,61749,427241,11.23,DetailedReportofNB (21).xls,2022-03-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Individual Single Premium,0.02,0.42,0.34,0.91,-54.43,400,2209,4564,4589,-51.86,DetailedReportofNB (21).xls,2022-03-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Individual Non Single Premium,0.18,10.03,1.42,34.21,-70.68,216,7121,1100,14586,-51.18,DetailedReportofNB (21).xls,2022-03-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Group Single Premium,0.0,0.0,0.0,5.23,-100.0,0,0,0,0,0.0,DetailedReportofNB (21).xls,2022-03-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (21).xls,2022-03-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Group Yearly Renewable Premium,0.03,6.22,1.38,21.42,-70.95,1,18,11,96,-81.25,DetailedReportofNB (21).xls,2022-03-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Total,0.23,16.67,3.14,61.78,-73.02,617,9348,5675,19271,-51.49,DetailedReportofNB (21).xls,2022-03-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Individual Single Premium,3.98,51.68,6.62,86.89,-40.52,4891,5294,5057,7870,-32.73,DetailedReportofNB (21).xls,2022-03-01,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,129.16,706.3,104.52,559.97,26.13,16090,116589,15655,108961,7.0,DetailedReportofNB (21).xls,2022-03-01,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,21.72,164.47,19.3,132.92,23.74,5,20,3,18,11.11,DetailedReportofNB (21).xls,2022-03-01,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (21).xls,2022-03-01,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,5.89,12.26,0.89,3.53,247.58,0,4,1,4,0.0,DetailedReportofNB (21).xls,2022-03-01,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,160.76,934.71,131.33,783.31,19.33,20986,121907,20716,116853,4.33,DetailedReportofNB (21).xls,2022-03-01,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,42.49,402.8,39.1,425.55,-5.35,295,3264,320,3650,-10.58,DetailedReportofNB (21).xls,2022-03-01,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,259.84,1334.63,229.7,1002.25,33.16,29672,174862,27961,176062,-0.68,DetailedReportofNB (21).xls,2022-03-01,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,47.42,905.86,60.61,688.62,31.55,0,6,1,12,-50.0,DetailedReportofNB (21).xls,2022-03-01,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.1,1.67,1.12,4.4,-62.11,0,2,0,2,0.0,DetailedReportofNB (21).xls,2022-03-01,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,0.63,152.67,42.19,182.58,-16.38,11,76,22,89,-14.61,DetailedReportofNB (21).xls,2022-03-01,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,350.49,2797.63,372.71,2303.4,21.46,29978,178210,28304,179815,-0.89,DetailedReportofNB (21).xls,2022-03-01,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,3.98,29.7,1.44,7.3,306.72,2009,6722,1495,5882,14.28,DetailedReportofNB (21).xls,2022-03-01,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,91.53,416.8,80.8,403.19,3.38,9808,58816,10555,74249,-20.79,DetailedReportofNB (21).xls,2022-03-01,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,2.74,26.9,3.3,15.77,70.61,3,0,0,0,0.0,DetailedReportofNB (21).xls,2022-03-01,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,21.3,24.16,-100.0,0,0,0,0,0.0,DetailedReportofNB (21).xls,2022-03-01,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,5.96,7.17,0.14,4.86,47.46,3,10,0,29,-65.52,DetailedReportofNB (21).xls,2022-03-01,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,104.21,480.57,106.97,455.28,5.55,11823,65548,12050,80160,-18.23,DetailedReportofNB (21).xls,2022-03-01,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,18.01,142.6,16.03,92.79,53.68,182,1373,286,1384,-0.79,DetailedReportofNB (21).xls,2022-03-01,EXIDE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,134.86,708.68,122.1,581.69,21.83,20401,126424,23307,147259,-14.15,DetailedReportofNB (21).xls,2022-03-01,EXIDE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,0.02,0.58,0.11,0.71,-17.54,0,0,0,0,0.0,DetailedReportofNB (21).xls,2022-03-01,EXIDE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,4.71,48.51,23.48,40.65,19.34,0,12,5,27,-55.56,DetailedReportofNB (21).xls,2022-03-01,EXIDE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,2.57,101.94,11.3,64.88,57.1,0,0,0,0,0.0,DetailedReportofNB (21).xls,2022-03-01,EXIDE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,160.17,1002.31,173.03,780.72,28.38,20583,127809,23598,148670,-14.03,DetailedReportofNB (21).xls,2022-03-01,EXIDE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,0.96,4.79,0.9,3.55,34.98,42,187,37,167,11.98,DetailedReportofNB (21).xls,2022-03-01,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,86.06,315.02,103.11,352.58,-10.65,7779,38878,10047,53082,-26.76,DetailedReportofNB (21).xls,2022-03-01,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,1.84,22.24,19.65,78.65,-71.72,0,0,0,5,-100.0,DetailedReportofNB (21).xls,2022-03-01,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (21).xls,2022-03-01,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,13.71,114.92,15.86,88.32,30.12,8,28,5,30,-6.67,DetailedReportofNB (21).xls,2022-03-01,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,102.57,456.97,139.52,523.09,-12.64,7829,39093,10089,53284,-26.63,DetailedReportofNB (21).xls,2022-03-01,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,494.59,3958.97,431.88,3474.71,13.94,6419,47406,6595,42451,11.67,DetailedReportofNB (21).xls,2022-03-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,1133.39,7752.0,1015.77,6650.4,16.56,120401,867696,130541,939556,-7.65,DetailedReportofNB (21).xls,2022-03-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,1500.5,12213.96,1495.44,9856.94,23.91,42,169,25,176,-3.98,DetailedReportofNB (21).xls,2022-03-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (21).xls,2022-03-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,35.86,376.15,48.16,260.39,44.46,16,65,5,80,-18.75,DetailedReportofNB (21).xls,2022-03-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,3164.35,24301.07,2991.26,20242.44,20.05,126878,915336,137166,982263,-6.81,DetailedReportofNB (21).xls,2022-03-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,366.56,3330.42,427.71,2659.43,25.23,4084,34430,4343,28246,21.89,DetailedReportofNB (21).xls,2022-03-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,921.06,5965.63,904.31,5187.61,15.0,84658,617855,90824,633265,-2.43,DetailedReportofNB (21).xls,2022-03-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,527.18,3050.77,458.87,2311.91,31.96,27,141,11,82,71.95,DetailedReportofNB (21).xls,2022-03-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.25,0.24,0.27,-4.64,0,0,5,6,-100.0,DetailedReportofNB (21).xls,2022-03-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,375.95,2688.45,365.91,2872.9,-6.42,99,1121,281,2797,-59.92,DetailedReportofNB (21).xls,2022-03-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,2190.75,15035.52,2157.04,13032.11,15.37,88868,653547,95464,664396,-1.63,DetailedReportofNB (21).xls,2022-03-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,8.36,92.96,4.22,33.26,179.51,190,2153,149,1346,59.96,DetailedReportofNB (21).xls,2022-03-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,214.17,1335.78,173.16,890.74,49.96,37261,263318,28816,196218,34.2,DetailedReportofNB (21).xls,2022-03-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,109.94,1211.41,54.3,1006.03,20.41,41,289,22,198,45.96,DetailedReportofNB (21).xls,2022-03-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.02,0.49,0.04,0.49,-1.43,1,1,0,3,-66.67,DetailedReportofNB (21).xls,2022-03-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (21).xls,2022-03-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,332.49,2640.63,231.71,1930.52,36.78,37493,265761,28987,197765,34.38,DetailedReportofNB (21).xls,2022-03-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,3.85,43.84,12.81,59.69,-26.55,147,1413,206,1585,-10.85,DetailedReportofNB (21).xls,2022-03-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,134.76,939.24,148.07,896.85,4.73,18262,154350,24762,188839,-18.26,DetailedReportofNB (21).xls,2022-03-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (21).xls,2022-03-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,22.14,273.46,61.96,168.28,62.5,8,50,12,40,25.0,DetailedReportofNB (21).xls,2022-03-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,1.42,25.78,0.27,10.18,153.27,7,67,8,60,11.67,DetailedReportofNB (21).xls,2022-03-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,162.17,1282.32,223.11,1135.0,12.98,18424,155880,24988,190524,-18.18,DetailedReportofNB (21).xls,2022-03-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,315.37,1320.28,299.54,1251.25,5.52,14150,54101,9235,44400,21.85,DetailedReportofNB (21).xls,2022-03-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,493.71,1980.81,404.81,1693.35,16.98,60987,285282,57120,295936,-3.6,DetailedReportofNB (21).xls,2022-03-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,242.71,1633.46,214.14,1026.88,59.07,7,89,41,222,-59.91,DetailedReportofNB (21).xls,2022-03-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,1.52,5.25,0.07,0.6,771.85,0,14,4,20,-30.0,DetailedReportofNB (21).xls,2022-03-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,319.29,1202.97,356.06,1284.43,-6.34,87,560,131,714,-21.57,DetailedReportofNB (21).xls,2022-03-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,1372.6,6142.77,1274.62,5256.51,16.86,75231,340046,66531,341292,-0.37,DetailedReportofNB (21).xls,2022-03-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,13.24,134.18,20.03,109.6,22.43,208,1966,282,1623,21.13,DetailedReportofNB (21).xls,2022-03-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,349.9,1746.23,300.21,1440.4,21.23,38984,255349,38034,246030,3.79,DetailedReportofNB (21).xls,2022-03-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,79.76,457.07,68.16,375.45,21.74,0,5,0,1,400.0,DetailedReportofNB (21).xls,2022-03-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.71,2.38,0.05,0.67,257.13,16,109,18,170,-35.88,DetailedReportofNB (21).xls,2022-03-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,11.07,128.08,9.95,70.09,82.74,0,0,0,0,0.0,DetailedReportofNB (21).xls,2022-03-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,454.69,2467.95,398.41,1996.2,23.63,39208,257429,38334,247824,3.88,DetailedReportofNB (21).xls,2022-03-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,1.99,7.47,0.86,2.64,183.36,14,116,8,2030,-94.29,DetailedReportofNB (21).xls,2022-03-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Individual Non Single Premium,11.94,114.04,10.71,111.9,1.92,4130,28730,4354,28615,0.4,DetailedReportofNB (21).xls,2022-03-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Group Single Premium,29.39,133.13,14.3,89.61,48.57,3,25,0,11,127.27,DetailedReportofNB (21).xls,2022-03-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (21).xls,2022-03-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Group Yearly Renewable Premium,3.6,49.59,0.75,24.35,103.68,13,124,10,196,-36.73,DetailedReportofNB (21).xls,2022-03-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Total,46.92,304.23,26.62,228.49,33.15,4160,28995,4372,30852,-6.02,DetailedReportofNB (21).xls,2022-03-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Individual Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (21).xls,2022-03-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (21).xls,2022-03-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (21).xls,2022-03-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (21).xls,2022-03-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (21).xls,2022-03-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (21).xls,2022-03-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,467.59,4031.14,316.21,2528.55,59.43,8944,94888,6881,48929,93.93,DetailedReportofNB (21).xls,2022-03-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,1510.56,12469.49,1471.03,9971.51,25.05,256061,1828032,226999,1607448,13.72,DetailedReportofNB (21).xls,2022-03-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,792.27,8484.67,723.85,7757.6,9.37,27,161,24,173,-6.94,DetailedReportofNB (21).xls,2022-03-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,10.64,36.7,20.78,35.12,4.51,1,1,3,5,-80.0,DetailedReportofNB (21).xls,2022-03-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,63.87,436.29,29.29,332.69,31.14,39,161,34,336,-52.08,DetailedReportofNB (21).xls,2022-03-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,2844.93,25458.29,2561.15,20625.46,23.43,265072,1923243,233941,1656891,16.08,DetailedReportofNB (21).xls,2022-03-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,6.25,64.28,9.22,56.12,14.53,1741,9538,671,2001,376.66,DetailedReportofNB (21).xls,2022-03-01,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,112.41,519.19,110.64,511.52,1.5,55865,263448,59900,293837,-10.34,DetailedReportofNB (21).xls,2022-03-01,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Private,0,0
